абазия | abasia, ае / | abaziya
почечнокаменная болезнь | nephrolithiasis, is f | nefrolitiaz; bowrek da§y keseli
почечные чашечки | calyces renales | bowrek okarajyklary
почечный | renalis, e; nephrogenes, is | bowrek. . . renal
- туберкулез | tuberculosis r enalis | bowrek in^ekeseli
почка(растения) | germen, inis n; gemma, ae f | pyntyk
почка | ren, renis m | bowrek
- бесформенная | ren informis | gornii'ji bozulan bdwrek
- дугообразная | ren arcuatus sive unguliformis | yay gornii^li bowrek
- кистобразная | ren cysticus | halta gornii§li bowrek
- опушение | nephroptosis, is f | ncfroptoz; bowregin a§ak suy§megi
- подвижная, или блуждаю­ | ren mobilis, sive migrans; | hereketlenyan; gozganyan bowrek
щая почка | nephroptosis, is f | 
- сморщенная | nephrocirrhosis, is f | nefrosirroz; yygrylan; miir§en bowrek; bowrek sirrozy
пояс | cingulum, i n; zona, ae f | bil; boliim; gu$aklyk
- маленький | zonula, ae J | ki^i bil
- плечевой | cingulum memhri superioris | cigin gu§aklygy
- тазовый | cingulum membri inferioris | ^anaklyk gu^aklygy
поясница | lumbi, orum m/pe | bil
поясничная область | regio lumbalis | bil toweregi
- спинномозговая, или люмбальная пункция | punctio lumbalis | bil-onurga-beyni de§niesi, punksiyasy
поясничное сплетение | plexus lumbalis | bil ^yrma^ygy
пояснично-крестцовый радикулит | ischias, adis f | i§ bil-ayryt radikuliti
поясничная мышца | psoas museulus | bil my§sasy
поясничный | lumbalis. e | b il.. . bile degi§li
поясничный прокол | punctio lumbalis | bil onurgasyny de§mek; bil onurgasynyn punksiyasy
поясок | zonula, ae f | zolajyk
правильный | regularis, e; normalis, e | dogry; normal
- ритм | eurhythmia, ae f | dogry ritm; sazla§yk
правый | dexter, tra, trum | sag
превентивный | praeventivus, a, um prophylacticus, a, um | prewentiw; ondni almak maksady bilen
превращение | metamorphosis, is f | metamorfoz; owrtilme
- роговое | reratosis, is f | keratoz; buynuz §ekilli owrulme
преграда грудобрюшная | diaphragma, atis п | diafragma; do§-garyn germewi
предвестник | aura, ае / | aura; on; irki alamatlar
- болезни | prodromus. i т | keselin irki, prodromal alamatlary
предврашающий | praemonitorius, a, um | prenionitor; aylanmazdan on, ozal, onunden duvdurvan
преддверие | vestibulum. i n; atrium, i n | westibul; girelge; bosaga
- влагалища | vestibulum vaginae | waginan, gulabyn girelgesi
- гортани | vestibulum laryngis | bokurdagyn oni
- лабиринта | vestibulum labirinti | labirintin girelgesi
- лестница | scala vestibuli | basganyagyn oni; alynjay
- носовой полости | vestibulum nasi | burun bo§lugynyn oni
- привратника | antrum pvloricum | priwratnigin oni
- рта | vestibulum oris | agzyn on bolegi
предел | limens, inis n | cak
предиспозиция | praedispositio, onis f | predispozisiya
прсдлежанне | praesentatio, onis f | yatmak
- головное | praesentatio cephalica, sive capitis | yaganyn gowrede kelle tarapy bilen yatmagy
- лицевое | praesentatio faciei | yaganyn yuzi bilen yatmagy
- ножное | praesentatio pedis | V’aganyn ayaklarv bilen yatmagy
- ягодичное | praesentatio natiun | yaganyn guyruk tarapy bilen yatmagv
предлежащий | praevius, a, um | onde yerlesen
преднаколеннпковый | praepatellaris, e | dyzcanagyn onundaki
предохранитель | pracservativum, / 11 | prezervvatiu
предохранительный | prophylacticus. a. um | profilaktiki; goramaga degi^li
предписание | praescriptio. onis f | yerine yetirilmeli; belleme; yazyp berme
- лекарственное | formula, ae j | derman berniek: bellemek
- лекарственные берлинские | formula, e; magistrales Berolinenscs (FMIf) | dernian bellemek
предплечье | antebrachium, ii n | gosar: bilek
предраковый | praccancerosus, a, um | prekanseroz; rak keselinin onusirasyndaky
предродовой | praenatalis, e | prenatal; yaga dogurmagyn onusyrasyndaky yagdav; wagt
предсердечная область | praecordia, ae f | prekardiya; yuregin on tarapy
тоска | anxietas praecordialis | yiirek gvsma; sustupeslik
предсердечный | praecordialis, e (praecardialis, | prekardial; yurek oni
предсердие | atrium cordis | alvnyurek
предсказание | prognosis, is f | prognoz; onunden aytmak; yaklarnak
предстарческий | praesenilis. e | garramagyn oiiusyrasynda; garta§an; garrylyk aralasan
предстательная железа | prostata, ae f | prostata; erkeklik jyns mazi
предупреждающий | praemonitorius, a, um | duyduryjy; duyduryan
предупредительный | prophylacticus. a, um | profilaktiki; oniini alyan
преждевременный | immaturus, a, um; praecox, ocus; praematurus, a, um | wagtyndan on, ir
презерватив | praeservativum, i it | prezcrwatiw
преимущественно | praecipue | kdpleny; esasan
преканцерозный | praecancerosus, a, um | prekanseroz: ragyn onusyrasyndaky
- дерматоз | Boweni morbus | Bowen keseli; rak howply dermatoz
прекардпальнмй | praecordialis, e | prekardial
прекоматозное состояние | praecoma, atis п | komanyn onusyrasyndaky yagday
прекращение | intermissio, onis f : suppressio, onis f | bes etmeklik
премедикация | praemedicatio, onis f | premedikasiva; dermanlar bilen agrysvzlandyrmak
премоляр | dens praemolaris | premolyar; azy di§
премониторный | praemonitorius, a, um | prcmonitor; duyduryjy
пренатальный | praenatalis. e | prenatal; yatgynyn iyindaki
преобладающий | dominans, ntis | dominirleyji; esasy bolegi
преобразование | metamorphosis, is f ; transformatio, onis f | metamarfoz; 6zgeri§ler
препарат | praeparatum, i n | preparat: tayyar seri§de
препараты галеновые | galeniga (remedia) n/pl; praeparata galenica | galen preparatlary; serisdeleri
- неогаленовые | neogalenica (remedia) n/pe; praeparata neogalenica | neogalen preparatlary; serisdeleri
препарирование | sectio. onis f | seksio: kesmek
препателлярный | praepatellans, e | prepatellyar; dyzyanak oni
препуциум | praeputiu. ii n | prepusium
препятствие | obstru :tio, onis f | obstruksiya; pasgelcilik
прерванный | interrupt us, a, um | arasy uzulen; uznele§en;
прерывание | interruptio, onis f | kesmek; bes etmek
прерывистый | intermittens, ntis | iizlem-saplam
пресбиакузис | prcshyacusis. is f | presbiakuziya: garrylvkdaky gulagy agyrlyk
пресбиопия | presbyopia, ae j | poresbiopiya; garrylyk...
пресенильный | praesenilis, e | presenil; garrylygyn on yany
иресечизм | praesenium, ii n | presenizm
пресистола | praesystoie, es f | presistola
иресистолический | praesvstolicus. a. um | presistoliki
пресмыкающийся | serpens, ntis | sytjryan; Vayrayan
лресс брюшной | prelum abdoniinale | garnyn iinki diuary
преступный | criminalis, | kriminal; jenayata degi^li
преходящий | temporarius, a, um: transitorius// um; fit pax, acis | tranzitor; gecip gidyan
преципитат | praecipitatum, / /; | presipitat
преципитация | praecipitatio. onis j | presipitasiy a
прсципитин, преципитпны | praecipii inum, i n | presipitinlcr
преципптированный | praecipitatus, a, um | presipitat; presipitirlenen
преэкламспя | praeclampsia, ae f | preeklampsiya
приапизм | priapismus, /' m | priapizm
прибавление | appositio, onis f | go§maya; gojjulma
прибавленный | accessorius, a, um; intercalaris, e | go$ulan; go$ulyan
прибавляющийся | intercurrens, ntis | gosulyp baryan; go§ul§yan
прибор | apparatus, us m | apparat; esbap; abzal
приведение | adductio. onis f | getirmek; yygyrmak
привесок | appendix, ids f | go$maya agram
прививание вторичное | revaccinatio, onis f | rewaksinasiya; ikileny sanymak
прививка | vaccinatio, onis f | waksinasiya; sanjym
- антирабическая, прививка против бешенства | vaccinatio antirabica | antirabik; goduzlamagyn gar§ysyna sanjym
- против натуральной оспы | vaccinatio antivariolica | mama keselin gar§ysyna sanjym
приводящая мышца | adductor, oris m | yakynla§dyryan; golaya getiryan my§sa
привратник | pylorus, i m | priwratnik
привычный | habitualis. e | owrendikli; endikli
приготовленный | pracparatus. a, um | tayyarlanan
придаток | appendix, icis f | appendiks; osuntgi
- крыловидный | ala, ae f | ganat gormijjli osuutgi
- мозговой | hypophysis, is f | gipofiz; beyni go§undysy; yango§masy
- надъяичниковый | epoophoron, i n | yumurtgalygyn ustundaki osuntgi
- яичка | epididymis, idis f | yumurtganyn (isiintgisi
придаточный | accessorius//, um; appendicularis, e; succenturiatus, a, | go^maca
- орган | appendix, icis f | appendiks; kori^ege
прием1 | dosis, is f | doza; derman mukdary; mo^beri
прием2 | methodus, i m | usul
- Креде | Credei methodus | Krede usuly
- Кристеллера | Kristelleri methodus | Kristelleri n usuly
- ошибочный, неправильный | malpraxis, is f | yalny§ usul
- ручной | manipulatio, onis f | manipulyasiya; el usuly
прижатый | compressus, a, um | kompreslenen; gysylan
приживление | reimplantatio, onis f | reimplantasiya; go§ulyp osme
прижигание | cauterisatio, onis f | kauterizasiva; yakma
прижигающие лекарственные средства | caustica (remedia) n/pe | kaustiki; yakvan derman serisdeleri
прижизненный | intravitalis, e | intrawital; omrunin dovvamynda
признак | signum, / n; symptoma, atis n; phaenomeniini, i n | alamat
- болезни | signum morbi | keselin alamaty
- Вирхова | Virchovi signum | Wirhowyn alamaty
- главный, или основной | symptoma cardinale | has; esasy ya-da ayratyn alamat
- д' Эспина | d’ Espine signum | d'Espinin alamaty
- Коплика-Филатова | Koplik-Filatov’ maculae | Koplik-Filatowvn alamaty
- неблагоприятный, зловещий | signum mali ominis | yakymsyz; avylganc alamat
- патогномический | symptoma pathognonionicum | patognoniiki alamat
- Пискачека | Piskaceki symptoma | Piskavekin alamaty
- Попова | Popowi signum | Popowyn alamaty
- рецессивный | symptoma recessivum | resessiw; esasy dal alamat
- вегетативный | stigmata vegetativa | wegetatiw alamat
- Хегера | Hegari signum | Hegerin alamaty
прикладывание | appositio, onis f | goyma
прикосновение | contactus, us m; contiguitas, atis; tactus,us m | kontakt; galtasmak; degi§mek; degi§dirmek
прикрепление | fixatio, onis / ; insertio, onis f | fiksasiya: berkitmek
